DOI	PubMed_ID	Scopus_ID	Web_of_Science_ID	URL	Database	Document_Type_Final	Document_Type_Scopus	Document_Type_Web_of_Science	Document_Type_Other	Reference_Detail	CORE	Authors	Title 	Year	Publication_Date 	Early_Access_Date	Source_Title 	ISSN	ISBN	Volume	Issue	Page_Start	Page_End	Supplemental_Issue	Special_Issue	Meeting_Abstract	Notes	Reference_Type	Document_Citation	CARDIA_Document_Cited	Level_of_Influence	Scopus	WOS	PubMed	Embase	ASC	CINAHL	CHC	APA_PI	CK	Uptodate	NU	PQC	WC	AHRQ	PPH	CDC	HP2020	Healthgov	MedlinePlus	NAP	OA	Dataverse	Dryad	Figshare	Mendeley_Data	OSF	Vivili	Zenodo	DigitalHub
10.1111/echo.13797	29342330	2-s2.0-85040645729	WOS:000422684900026			Correction	Erratum		Correction	MS (Correction)	CORE	"Armstrong, AC; Muller, M; Ambale-Venkatesh, B"	"Association of early left ventricular dysfunction with advanced magnetic resonance white matter and gray matter brain measures: the CARDIA study (vol 34, pg 1617, 2017)"	2018	JAN		ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES	0742-2822		35	1	137	137					CINAHL Journal Article				1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1093/cid/cir759	NA	2-s2.0-80755129220	WOS:000297279900028			Correction	Erratum		Correction	MS (Correction)	CORE	"Nahid, P; Horne, DJ; Jarlsberg, LG; Reiner, AP; Osmond, D; Hopewell, PC; Bibbins-Domingo, K"	"Racial Differences in Tuberculosis Infection in United States Communities: The Coronary Artery Risk Development in Young Adults Study (vol 53, pg 291, 2011)"	2011	1-Dec		CLINICAL INFECTIOUS DISEASES	1058-4838		53	11	1172	1172					ASC Journal Article				1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1001/archinternmed.2010.176	NA	2-s2.0-77954191442	WOS:000279245000024			Correction	Erratum		Correction	MS (Correction)	CORE	Duffey	"Food Price and Diet and Health Outcomes: 20 Years of the CARDIA Study (vol 170, pg 420, 2010)"	2010	28-Jun		ARCHIVES OF INTERNAL MEDICINE	0003-9926		170	12	1089	1089									1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1001/archinte.167.4.373	NA	2-s2.0-33847403985	WOS:000244467000014			Correction	Erratum		Correction	MS (Correction)	CORE	Gidding	"Prediction of coronary artery calcium in young adults using the Pathobiological Determinants Atherosclerosis in Youth (PDAY) risk score: The CARDIA study (vol 166, pg 2341, 2006)"	2007	26-Feb		ARCHIVES OF INTERNAL MEDICINE	0003-9926		167	4	373	373					Embase Journal Article				1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	NA	2-s2.0-33748558770	WOS:000238197000018			Correction	Erratum		Correction	MS (Correction)	CORE	Houston	"Active and passive smoking and development of glucose intolerance among young adults in a prospective cohort: CARDIA study (vol 332, pg 1064, 2006)"	2006	3-Jun		BMJ-BRITISH MEDICAL JOURNAL	1756-1833		332	7553	1298	1298					Embase Journal Article				1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1016/S0140-6736(05)71138-7	NA	2-s2.0-15244348778	WOS:000227731800026			Correction	Erratum		Correction	MS (Correction)	CORE	"Pereira, MA; Kartashov, AI; Ebbeling, CB"	"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis (vol 365, pg 36, 2005)"	2005	19-Mar		LANCET	0140-6736		365	9464	1030	1030					Embase Journal Article				1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	NA	2-s2.0-85082913279	NA			Article	Book Chapter		Book Chapter	MS	CORE	"Krieger N., Sidney S."	Prevalence and health implications of anti-gay discrimination: A study of black and white women and men in the Cardia Cohort	2016			Embodying Inequality: Epidemiologic Perspectives		9781351844604; 0895032945; 9780895032942			503	521				Book not indexed in WoS.This is a paper written in 1997 that was included as a book chapter in this 2016 book. 					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2204367	2-s2.0-0025183337	WOS:A1990EN52200008			Article	Review	Article	Article	MS	CORE	"ORDEN, SR; DYER, AR; LIU, K"	RECRUITING YOUNG-ADULTS IN AN URBAN SETTING - THE CHICAGO CARDIA EXPERIENCE	1990	MAY-JUN		AMERICAN JOURNAL OF PREVENTIVE MEDICINE	0749-3797		6	3	176	182					APA PI Journal Article				1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1089/met.2018.0114	30730245	2-s2.0-85063767594	WOS:000463021500003			Article	Review	Article	Article	MS	CORE	"Cui, ZH; Cai, JW; Lewis, CE; Stevens, J"	Changes in Cardiovascular Disease Risk Factors with Unintentional Versus Intentional Weight Loss: The Coronary Artery Risk Development in Young Adults Study	2019	1-Apr		METABOLIC SYNDROME AND RELATED DISORDERS	1540-4196		17	3	143	148					Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1093/aje/kwx365	29244061	2-s2.0-85048998381	WOS:000434091300016			Article	Review	Article	Article	MS	CORE	"Elfassy, T; Glymour, MM; Kershaw, KN; Carnethon, M; Llabre, MM; Lewis, CE; Schneiderman, N; Al Hazzouri, AZ"	"Association Between Sustained Poverty and Changes in Body Mass Index, 1990-2015 The Coronary Artery Risk Development in Young Adults Study"	2018	JUN		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		187	6	1240	1249					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
