Grant_Numbers,records,percent_of_total
HHSN268200900 041C,1,0.134
HHSN268200900041 C,1,0.134
HHSN268200960009C,1,0.134
HHSN268201 300029C,1,0.134
HHSN2682013 00025C,1,0.134
HHSN2682013 00027C,1,0.134
HHSN2682013 00028C,1,0.134
HHSN2682013 00029C,1,0.134
HHSN26820130 0028C,1,0.134
HHSN268201300 027C,1,0.134
HHSN268201300 028C,1,0.134
HHSN2682013000 26C,1,0.134
HHSN2682013000-28C,1,0.134
HHSN26820130002-7C,1,0.134
HHSN268201300025 C,1,0.134
HHSN268201300026 C,1,0.134
HHSN268201300027 C,1,0.134
HHSN268201300028 C,1,0.134
HHSN268201300029 C,1,0.134
HHSN268203300029C,1,0.134
HL-30086,1,0.134
HL-39107,1,0.134
HL-51021,1,0.134
HL-66642,1,0.134
HL-72905,1,0.134
HL-HC-48049,1,0.134
HL04187,1,0.134
HL051021,1,0.134
HL054457,1,0.134
HL056931,1,0.134
HL075451,1,0.134
HL076852,1,0.134
HL081352,1,0.134
HL084099,1,0.134
HL114091,1,0.134
HL45057,1,0.134
HL45670,1,0.134
HL46352,1,0.134
HL50723,1,0.134
HMSP-ICS/007/2012,1,0.134
HS09446,1,0.134
K01 DK059944-02,1,0.134
K01 DK09528,1,0.134
K01 HL073249,1,0.134
K01-HD044263152,1,0.134
K01CA172717,1,0.134
K05DA01579,1,0.134
K07 CA154862,1,0.134
K08 HL04187,1,0.134
K08DK02440,1,0.134
K12 AR047659,1,0.134
K12 HD043441,1,0.134
K12 HD049091,1,0.134
K12 HD049091-01,1,0.134
K12 HD43441,1,0.134
K12 RR017707,1,0.134
K12-HD043441,1,0.134
K12HD043488,1,0.134
K12HD052023,1,0.134
K12HD065987,1,0.134
K12HD43441-09,1,0.134
K12HL109019,1,0.134
K23,1,0.134
K23 AI064397,1,0.134
K23 AI66943,1,0.134
K23 DA015487,1,0.134
K23 DK088865,1,0.134
K23 HL079343-01A2,1,0.134
K23 HL094531,1,0.134
K23 HL094531-01A1,1,0.134
K23 HL131023,1,0.134
K23 HL136853,1,0.134
K23-DK103918,1,0.134
K23-DK111944,1,0.134
K23-HL136891,1,0.134
K23AG040278,1,0.134
K23DK081607,1,0.134
K23DK088865,1,0.134
K23HL092629,1,0.134
K23HL093354,1,0.134
K23HL122361-01A1,1,0.134
K23HL12236101A1,1,0.134
K23HL136853,1,0.134
K23HL136891,1,0.134
K24 DK103992,1,0.134
K24 DK62222,1,0.134
K24-DK-082730,1,0.134
K24-DK101828,1,0.134
K24-DK103992,1,0.134
K24-RR019705,1,0.134
K24DK103992,1,0.134
K99HL089459,1,0.134
K99HL109247,1,0.134
KL2 RR024990,1,0.134
KL2 TR00014,1,0.134
KL2 TR000143,1,0.134
KL2RR025746,1,0.134
KL2TR001,1,0.134
L30 HL085947-01,1,0.134
LO1611,1,0.134
M01 RR02172,1,0.134
MD 20892-9304,1,0.134
MD00206 P60,1,0.134
MH00721,1,0.134
MR/N000218/1,1,0.134
Metabolic Genetics,1,0.134
N-01-HC-48049,1,0.134
N-1-HC-48048,1,0.134
N01 -HC-48 047,1,0.134
N01 HC 95095,1,0.134
N01 HC 95159,1,0.134
N01 HC 95160,1,0.134
N01 HC 95161,1,0.134
N01 HC 95162,1,0.134
N01 HC 95163,1,0.134
N01 HC 95164,1,0.134
N01 HC 95165,1,0.134
N01 HC 95166,1,0.134
N01 HC 95168,1,0.134
N01 HC 95169,1,0.134
N01 HC005187,1,0.134
N01-HC- 95095,1,0.134
N01-HC-048047,1,0.134
N01-HC-05-187,1,0.134
N01-HC-15103,1,0.134
N01-HC-35129,1,0.134
N01-HC-45133,1,0.134
N01-HC-48 048,1,0.134
N01-HC-48,,
N01-HC-48,,
N01-HC-48-049,1,0.134
N01-HC-48-050,1,0.134
N01-HC-48-49,1,0.134
N01-HC-480-47,1,0.134
N01-HC-48046,1,0.134
N01-HC-4809,1,0.134
N01-HC-49048,1,0.134
N01-HC-55222,1,0.134
N01-HC-75150,1,0.134
N01-HC-84050,1,0.134
N01-HC-85079,1,0.134
N01-HC-85086,1,0.134
N01-HC-95,,
N01-HC-9505,1,0.134
N01-HC-95100,1,0.134
N01-HC-95160,1,0.134
N01-HC-95161,1,0.134
N01-HC-95162,1,0.134
N01-HC-95163,1,0.134
N01-HC-95165,1,0.134
N01-HC-95166,1,0.134
N01-HC-95168,1,0.134
N01-HC45134,1,0.134
N01-HC48 049,1,0.134
N01-HC48 050,1,0.134
N01-HC48047-48050,1,0.134
N01-HC95 095,1,0.134
N01-HV-22971,1,0.134
N01-NC-48048,1,0.134
N01HC-48048,1,0.134
N01HC-48049,1,0.134
N01HC-48050,1,0.134
N01HC-95095,1,0.134
N01HC95095-62-0-1,1,0.134
N1-HC-95095,1,0.134
NH NHLBI-HC-09-08,1,0.134
NHLBI N01-HC-48047,1,0.134
NHLBI N01-HC-48048,1,0.134
NHLBI N01-HC-48049,1,0.134
NHLBI RC2HL 101666,1,0.134
NHLBI: N01-HC-95095,1,0.134
NIDA: R01-DA-025067,1,0.134
NIH NHLBI-HC-09-08,1,0.134
NIH NHLBI-HC-09-09,1,0.134
NIH R01-CA109831,1,0.134
NINDS R01NS070914,1,0.134
NNF10CC1016515,1,0.134
NO1-363 HC-48047,1,0.134
NO1-HC-40847,1,0.134
NO1-HC48047,1,0.134
NO1-HC48049,1,0.134
NS41466,1,0.134
NTH P30-ES10126,1,0.134
P01 AG011412-080006,1,0.134
P01 AG011412-090006,1,0.134
P01 AG011412-100006,1,0.134
P01 AG011412-110006,1,0.134
P01 AG011412-120006,1,0.134
P01 AG020166,1,0.134
P01 AG18784,1,0.134
P01 AI50153,1,0.134
P01 HL047540,1,0.134
P01-HL047540,1,0.134
P01-HL047540-19S1,1,0.134
P01AG011412,1,0.134
P01AG11412,1,0.134
P2C HD047873,1,0.134
P2C-HD050924,1,0.134
P2CHD050924,1,0.134
P30 AG010124,1,0.134
P30 AG017265,1,0.134
P30 AG021677,1,0.134
P30 AG024827,1,0.134
P30 AG028748,1,0.134
P30 DK056350,1,0.134
P30 DK092924,1,0.134
P30 DK092949,1,0.134
P30 ES01247,1,0.134
P30-AG15272,1,0.134
P30-DK056350,1,0.134
P30-DK56350,1,0.134
P30-ES010126,1,0.134
P30DK-56350,1,0.134
P30DK056336,1,0.134
P30DK092926,1,0.134
P30ES07033,1,0.134
P30ES10126,1,0.134
P41 EB015893,1,0.134
P60 AR48098,1,0.134
P60 DK07626,1,0.134
P60 MD002249,1,0.134
P60006902,1,0.134
PBLAP3-136774,1,0.134
PFHC95095,1,0.134
PI14/00508,1,0.134
R-1 AT004837,1,0.134
R0-HL104580,1,0.134
R01 AA012162,1,0.134
R01 AG023397,1,0.134
R01 CA077704-03,1,0.134
R01 CA077704-04,1,0.134
R01 CA077704-08,1,0.134
R01 CA094107,1,0.134
R01 CA121152,1,0.134
R01 CA770403,1,0.134
R01 DK078124,1,0.134
R01 DK078616,1,0.134
R01 ES010932,1,0.134
R01 HD060503,1,0.134
R01 HL 065611,1,0.134
R01 HL053359-03,1,0.134
R01 HL065611,1,0.134
R01 HL069003,1,0.134
R01 HL071862,1,0.134
R01 HL071862-05A1,1,0.134
R01 HL072057,1,0.134
R01 HL072057-01A2,1,0.134
R01 HL075774,1,0.134
R01 HL076532,1,0.134
R01 HL077612,1,0.134
R01 HL086792,1,0.134
R01 HL093077-01A1,1,0.134
R01 HL095296,1,0.134
R01 HL098604-01,1,0.134
R01 HL107577,1,0.134
R01 HL114091,1,0.134
R01 HL63685,1,0.134
R01 NS111115,1,0.134
R01- HL- 53560,1,0.134
R01- HL114091,1,0.134
R01-CA121,1,0.134
R01-CAl 09831,1,0.134
R01-CAl 21152,1,0.134
R01-DA-025067,1,0.134
R01-DK-090047,1,0.134
